# mapping_set_id: https://w3id.org/lmodel/dpv/mappings/dpv-legal-eu-gdpr-iso27701
# mapping_set_description: DPV `legal/eu/gdpr` extension <-> ISO/IEC 27701:2019 (Privacy Information Management) clause alignment. LLM-seeded candidate alignments (Claude Opus 4.7) connecting GDPR Article references, lawful bases (A6-1-a … A6-1-f), special-category bases (A9-2-a …), accountability/transparency principles, data-subject rights (A13–A22), and breach-notification roles to ISO/IEC 27701 PII controller / processor clauses. Each row classifies as `semapv:LLMBasedMatching` per the Semantic Mapping Vocabulary and requires human review before promotion to `semapv:LLMBasedMatching`.
# mapping_set_version: 0.2
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_provider: "https://github.com/copilot (model: Claude Opus 4.7)"
# curie_map:
#   legal_eu_gdpr: https://w3id.org/lmodel/dpv/legal/eu/gdpr/
#   iso27701: https://w3id.org/lmodel/iso27701/
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/

subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_source
legal_eu_gdpr:A61a	A6-1-a Consent	skos:closeMatch	iso27701:Clause_7_2_3	Determine when and how consent is to be obtained	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_gdpr:A61b	A6-1-b Contract	skos:relatedMatch	iso27701:Clause_7_2_2	Identify lawful basis	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_gdpr:A61c	A6-1-c Legal Obligation	skos:relatedMatch	iso27701:Clause_7_2_2	Identify lawful basis	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_gdpr:A61d	A6-1-d Vital Interests	skos:relatedMatch	iso27701:Clause_7_2_2	Identify lawful basis	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_gdpr:A61e	A6-1-e Public Interest	skos:relatedMatch	iso27701:Clause_7_2_2	Identify lawful basis	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_gdpr:A61f	A6-1-f Legitimate Interests	skos:relatedMatch	iso27701:Clause_7_2_2	Identify lawful basis	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_gdpr:DataSubject	Data Subject	skos:closeMatch	iso27701:PIIPrincipal	PII principal	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_gdpr:DpvController	Data Controller	skos:closeMatch	iso27701:PIIController	PII controller	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_gdpr:DpvProcessor	Data Processor	skos:closeMatch	iso27701:PIIProcessor	PII processor	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_gdpr:DpvRecipient	Recipient	skos:relatedMatch	iso27701:ThirdParty	third party	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_gdpr:ThirdParty	Third Party	skos:closeMatch	iso27701:ThirdParty	third party	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_gdpr:DataProtectionAuthority	Data Protection Authority	skos:closeMatch	iso27701:SupervisoryAuthority	supervisory authority	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_gdpr:PersonalData	Personal Data	skos:exactMatch	iso27701:PII	personally identifiable information	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_gdpr:BiometricData	Biometric Data	skos:narrowMatch	iso27701:PII	personally identifiable information	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_gdpr:GeneticData	Genetic Data	skos:narrowMatch	iso27701:PII	personally identifiable information	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_gdpr:HealthData	Health Data	skos:narrowMatch	iso27701:PII	personally identifiable information	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_gdpr:Processing	Processing	skos:exactMatch	iso27701:Processing	processing of PII	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_gdpr:Profiling	Profiling	skos:relatedMatch	iso27701:Processing	processing of PII	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_gdpr:Pseudonymisation	Pseudonymisation	skos:closeMatch	iso27701:Pseudonymization	pseudonymization	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_gdpr:DataBreach	Data Breach	skos:closeMatch	iso27701:PrivacyIncident	privacy incident	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_gdpr:AvailabilityBreach	Availability Breach	skos:closeMatch	iso27701:PrivacyIncident	privacy incident	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_gdpr:ConfidentialityBreach	Confidentiality Breach	skos:closeMatch	iso27701:PrivacyIncident	privacy incident	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_gdpr:IntegrityBreach	Integrity Breach	skos:closeMatch	iso27701:PrivacyIncident	privacy incident	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_gdpr:DataBreachNotice	Data Breach Notice	skos:closeMatch	iso27701:Clause_6_13	Information security incident management	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_gdpr:DPABreachNotice	DPA Breach Notice	skos:closeMatch	iso27701:Clause_6_13_1_5	Reporting information security events	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_gdpr:DataSubjectBreachNotice	Data Subject Breach Notice	skos:closeMatch	iso27701:Clause_7_3_6	Provide mechanism to modify or withdraw consent	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_gdpr:DPIAProcedure	DPIA Procedure	skos:closeMatch	iso27701:Clause_7_2_5	Privacy impact assessment	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_gdpr:DPIARequired	DPIA Required	skos:closeMatch	iso27701:Clause_7_2_5	Privacy impact assessment	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_gdpr:StandardContractualClauses	Standard Contractual Clauses	skos:closeMatch	iso27701:Clause_7_5_2	Countries and international organizations to which PII can be transferred	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_gdpr:BindingCorporateRules	Binding Corporate Rules	skos:closeMatch	iso27701:Clause_7_5_1	Identify basis for PII transfer between jurisdictions	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_gdpr:AdequacyDecision	Adequacy Decision	skos:closeMatch	iso27701:Clause_7_5_1	Identify basis for PII transfer between jurisdictions	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_gdpr:A15	A15 Right of Access	skos:closeMatch	iso27701:Clause_7_3_8	Providing access mechanism	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_gdpr:A16	A16 Right to Rectification	skos:closeMatch	iso27701:Clause_7_3_6	Provide mechanism to correct or revise PII	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_gdpr:A17	A17 Right to Erasure	skos:closeMatch	iso27701:Clause_7_4_8	Disposal	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_gdpr:A20	A20 Right to Data Portability	skos:closeMatch	iso27701:Clause_7_3_8	Providing access mechanism	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_gdpr:A21	A21 Right to Object	skos:closeMatch	iso27701:Clause_7_3_5	Providing mechanism to object to PII processing	semapv:LLMBasedMatching	ISO/IEC 27701:2019
legal_eu_gdpr:A22	A22 Right re Automated Decision-Making	skos:closeMatch	iso27701:Clause_7_4_4	PII minimization objectives	semapv:LLMBasedMatching	ISO/IEC 27701:2019
